aglomerado,suscetiveis,leitos_uti,leitos_atendimento,data,taxa_ocupacao,perc_atendimento,perc_uti,perc_mortalidade,perc_nao_detectados,inf_prob,act_rate,dias_rec,tm,regiao,mse
Acorizal,5399,0,0,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.001488174,16.70389939,0.050134278,3.6,Baixada Cuiabana,60.28571429
Agua Boa,24032,0,77,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.10933713,1.69615665,11.02786058,3.6,Agua Boa,57.21428571
Alta Floresta,51782,19,188,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.011597864,9.358800024,9.970616767,3.6,Alta Floresta,758.1428571
Alto Araguaia,19044,0,98,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.11759256,1.317403604,8.304421019,3.6,Rondonopolis,20.07142857
Alto Boa Vista,6822,0,0,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.015668542,7.803915967,9.562517582,3.6,Sao Felix do Araguaia,2.642857143
Alto Garcas,12030,0,0,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.076551804,3.312874942,15.40931754,3.6,Rondonopolis,35.78571429
Alto Paraguai,11356,0,0,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.029926594,9.242997214,20.20949835,3.6,Diamantino,5.785714286
Alto Taquari,10847,0,30,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.008734693,10.27665023,106.4333195,3.6,Rondonopolis,108.9285714
Apiacas,10133,0,32,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.02294448,9.703339464,15.82887669,3.6,Alta Floresta,298.6428571
Araguaiana,3100,0,12,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.003061075,13.02284272,0.000768735,3.6,Barra do Garcas,108.8571429
Araguainha,935,0,0,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.010601625,4.202271005,40.04799057,3.6,Rondonopolis,28723.42857
Araputanga,16822,0,19,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.032359976,2.461441176,13.50201768,3.6,Caceres,44.57142857
Arenapolis,9607,0,10,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.037705067,7.804807922,8.180552987,3.6,Diamantino,16.28571429
Aripuana,22354,0,33,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.004300954,7.798699826,0.970715798,3.6,Juina,47.28571429
Barao de Melgaco,8564,0,11,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.013970937,6.502156081,53.63701635,3.6,Baixada Cuiabana,1.428571429
Barra do Bugres,34966,0,59,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.192144042,0.13590417,0.377232206,3.6,Tangara da Serra,193.7857143
Barra do Garcas,61012,20,108,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.002780262,17.78437018,0.000764969,3.6,Barra do Garcas,891.4285714
Bom Jesus do Araguaia,6580,0,0,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.001914702,50.32257818,17.13244201,3.6,Sao Felix do Araguaia,5.214285714
Brasnorte,19695,0,31,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.010790979,2.713727145,14.33357751,3.6,Juina,1.071428571
Caceres,94376,26,225,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.01206434,9.814774115,59.8154502,3.6,Caceres,138.2142857
Campinapolis,15980,0,24,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.000920536,1.013761257,0.002561003,3.6,Barra do Garcas,56.14285714
Campo Novo do Parecis,35360,0,32,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.001697666,45.20116122,0.010768664,3.6,Tangara da Serra,2883.142857
Campo Verde,44041,0,67,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.034995141,3.568602275,17.43181185,3.6,Rondonopolis,3036.5
Campos de Julio,6891,0,16,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.016024566,9.312207449,13.06829174,3.6,Pontes e Lacerda,100.9285714
Canabrava do Norte,4743,0,9,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.029187914,3.089949361,29.57302323,3.6,Porto Alegre do Norte,1.357142857
Canarana,21579,0,48,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.048697626,2.389632878,13.27518206,3.6,Agua Boa,14.28571429
Castanheira,8729,0,0,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.021835574,3.896483616,12.13136724,3.6,Juina,1.928571429
Chapada dos Guimaraes,19752,0,2,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.048994246,2.58374514,28.12778046,3.6,Baixada Cuiabana,36.57142857
Claudia,12149,0,23,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.013048078,15.09508666,0.570373997,3.6,Sinop,38.14285714
Cocalinho,5700,0,16,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.132656117,1.570466954,11.77193754,3.6,Agua Boa,2.071428571
Colider,33438,8,121,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.090311873,2.704033904,7.59307988,3.6,Colider,737.1428571
Colniza,38582,0,31,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Juina,1.00E+100
Comodoro,20763,0,42,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.003611732,47.23579466,8.968471257,3.6,Pontes e Lacerda,27.14285714
Confresa,30933,0,53,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.028895005,1.550118247,13.98708652,3.6,Porto Alegre do Norte,1419.5
Conquista do Oeste,4038,0,0,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.030432119,0.040829066,97.20203543,3.6,Pontes e Lacerda,5.357142857
Cotriguacu,19750,0,33,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.036941435,4.461018684,9.433525874,3.6,Juina,1.214285714
Cuiaba,612547,429,1897,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.008338745,9.745806801,55.40487334,3.6,Baixada Cuiabana,31141.85714
Curvelandia,5219,0,0,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.027464217,5.703870373,14.82998906,3.6,Caceres,1.928571429
Denise,9462,0,0,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.105190593,2.069247957,2.396846948,3.6,Tangara da Serra,17.07142857
Diamantino,22041,0,46,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.03536443,4.450301864,16.19637015,3.6,Diamantino,29.57142857
Dom Aquino,8178,0,20,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.067801968,2.76280751,6.085496907,3.6,Rondonopolis,5.785714286
Feliz Natal,14192,0,0,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.02112326,3.682553483,0.544908451,3.6,Sinop,200.5714286
Figueiropolis do Oeste,3494,0,0,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.006687072,21.07375913,19.56885525,3.6,Pontes e Lacerda,17.5
Gaucha do Norte,7648,0,17,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.135581258,1.228012665,57.05609888,3.6,Agua Boa,14.71428571
General Carneiro,5540,0,15,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.000681687,0.571260861,0.004080071,3.6,Barra do Garcas,270.4285714
Guaranta do Norte,35016,0,48,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.026254043,5.129227831,22.02672825,3.6,Peixoto de Azevedo,212.0714286
Guiratinga,15141,0,22,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.007552082,3.62349247,25.60253438,3.6,Rondonopolis,9.857142857
Indiavai,2752,0,0,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.007697951,19.86185279,20.79477375,3.6,Caceres,14.5
Ipiranga do Norte,7667,0,0,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.023450211,7.876126727,7.290293302,3.6,Sinop,6.5
Itanhanga,6737,0,0,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.015681055,13.18790335,19.34148905,3.6,Sinop,0.857142857
Itauba,3802,0,16,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.096965831,1.441592123,21.41825256,3.6,Colider,15.57142857
Itiquira,13345,0,35,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.004186119,16.80108341,32.62035201,3.6,Rondonopolis,3
Jaciara,27776,0,60,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.043054888,4.381250736,10.02499805,3.6,Rondonopolis,42
Jangada,8409,0,0,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.013444123,1.067886412,15.7951175,3.6,Baixada Cuiabana,196.4285714
Jauru,8793,0,37,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.0276,7.683,8.088,3.6,Pontes e Lacerda,1.00E+100
Juara,34974,0,65,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.014564425,4.624139203,34.26308724,3.6,Juara,224.3571429
Juina,40997,16,129,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.023615881,8.13757508,9.771189764,3.6,Juina,90.35714286
Juruena,15865,0,19,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.039750197,12.6931334,5.043404231,3.6,Juina,1204.785714
Juscimeira,11221,0,33,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.017567931,18.55835418,6.687915371,3.6,Rondonopolis,319.7142857
Lambari do Oeste,6121,0,0,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.024526198,6.427365571,16.3542691,3.6,Caceres,18.07142857
Lucas do Rio Verde,65534,18,101,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.002187918,58.38255323,26.68971246,3.6,Sinop,1834.285714
Luciara,2077,0,0,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Sao Felix do Araguaia,1.00E+100
Marcelandia,10499,0,11,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.041176891,5.68670895,11.00240999,3.6,Colider,328
Matupa,16566,0,44,08/07/2020,0.058,0.2,0.01,0.005,0.6,0.013195641,5.793952193,19.85615067,3.6,Peixoto de Azevedo,610.2857143
