"municipio","cod_ibge","classificacao_epidemiologica","infectados_n","recuperados_n","obitos_n","r_025","r_500","r_975","r_mm7","n_va","p_va","to_uti","ia_cat","iv_cat","risco"
"Acorizal",5100102,"TRANSMISSAO LOCAL","18","20","1",0.785920623868293,1.37312279785224,2.19894325222448,1.34817599872065,0.69047619047619,0.69047619047619,0.929,"Moderado","Muito alto","Muito alto"
"Agua Boa",5100201,"TRANSMISSAO LOCAL","35","43","2",0.556491552447053,0.841006756713436,1.20920903747296,1.04721807899178,1.10173690512146,1.10173690512146,0.929,"Baixo","Muito alto","Alto"
"Alta Floresta",5100250,"TRANSMISSAO LOCAL","19","134","5",0.625345002974049,0.929906899385901,1.32033002592594,1.03919496366116,0.368242384129132,0.368242384129132,0.929,"Baixo","Muito alto","Alto"
"Alto Araguaia",5100300,"TRANSMISSAO LOCAL","20","23","3",1.19168029669873,1.97360984596423,3.04050479666261,1.17000471886589,0.143481518481519,0.143481518481519,0.929,"Baixo","Muito alto","Alto"
"Alto Boa Vista",5100359,"TRANSMISSAO LOCAL","8","19","2",0.709963558771854,1.68251188154523,3.29444015679101,1.23445263324784,1.26190476190476,1.26190476190476,0.929,"Moderado","Muito alto","Muito alto"
"Alto Garcas",5100409,"TRANSMISSAO LOCAL","33","11","0",1.01965916010788,1.49452874210596,2.09811189759668,1.85988717221809,7.90612244897959,7.90612244897959,0.929,"Moderado","Muito alto","Muito alto"
"Alto Paraguai",5100508,"","14","3","0",0.929735960743289,1.80634114895342,3.11376361272442,1.60306918244502,0.785714285714286,0.785714285714286,0.929,"Moderado","Muito alto","Muito alto"
"Alto Taquari",5100607,"","3","1","1",,,,,,,0.929,"Muito baixo","Muito alto","Moderado"
"Apiacas",5100805,"","3","0","0",,,,,,,0.929,"Muito baixo","Muito alto","Moderado"
"Araguaiana",5101001,"","5","0","0",,,,,,,0.929,"Muito baixo","Muito alto","Moderado"
"Araguainha",5101209,"","0","0","0",,,,,,,0.929,"Muito baixo","Muito alto","Moderado"
"Araputanga",5101258,"TRANSMISSAO LOCAL","16","11","1",1.09710457721101,1.91680846747818,3.06961114618496,1.6482266473129,0.964285714285714,0.964285714285714,0.929,"Moderado","Muito alto","Muito alto"
"Arenapolis",5101308,"TRANSMISSAO LOCAL","13","20","1",0.642247288661907,1.14690220914742,1.86536994575537,1.425700588297,1.42602040816327,1.42602040816327,0.929,"Baixo","Muito alto","Alto"
"Aripuana",5101407,"TRANSMISSAO LOCAL","14","47","2",0.562713859719885,1.13457324611952,2.00481260266919,0.971085828704076,-0.315284318855747,-0.315284318855747,0.929,"Muito baixo","Muito alto","Moderado"
"Barao de Melgaco",5101605,"TRANSMISSAO LOCAL","7","0","0",,,,,,,0.929,"Muito baixo","Muito alto","Moderado"
"Barra do Bugres",5101704,"","22","16","1",0.872487174462385,1.38716651129659,2.07316157985696,1.5277892192324,3.43347763347763,3.43347763347763,0.929,"Moderado","Muito alto","Muito alto"
