"municipio","cod_ibge","classificacao_epidemiologica","infectados_n","r_mm7","p_va","to_uti","risco","Geocodigo"
"Acorizal",5100102,0,1,1.34817599872065,0.69047619047619,0.929,94.3801396709723,"5100102"
"Agua Boa",5100201,0,1,1.04721807899178,1.10173690512146,0.929,93.422488612437,"5100201"
"Alta Floresta",5100250,0,1,1.03919496366116,0.368242384129132,0.929,93.3929507426532,"5100250"
"Alto Araguaia",5100300,0,1,1.17000471886589,0.143481518481519,0.929,94.1947498861352,"5100300"
"Alto Boa Vista",5100359,0,1,1.23445263324784,1.26190476190476,0.929,94.8386616307818,"5100359"
"Alto Garcas",5100409,0,1,1.85988717221809,7.90612244897959,0.929,100,"5100409"
"Alto Paraguai",5100508,0.5,1,1.60306918244502,0.785714285714286,0.929,94.5337086161526,"5100508"
"Alto Taquari",5100607,0.5,1,1,0,0.929,93.3074496797714,"5100607"
"Apiacas",5100805,0.5,1,1,0,0.929,93.3074496797714,"5100805"
"Araguaiana",5101001,0.5,1,1,0,0.929,93.3074496797714,"5101001"
"Araguainha",5101209,0.5,0,1,0,0.929,93.3074496797714,"5101209"
"Araputanga",5101258,0,1,1.6482266473129,0.964285714285714,0.929,95.6451821831711,"5101258"
"Arenapolis",5101308,0,1,1.425700588297,1.42602040816327,0.929,94.0186117186663,"5101308"
"Aripuana",5101407,0,1,0.971085828704076,-0.315284318855747,0.929,93.3599263441289,"5101407"
"Barao de Melgaco",5101605,0,1,1,0,0.929,93.3074496797714,"5101605"
"Barra do Bugres",5101704,0.5,1,1.5277892192324,3.43347763347763,0.929,93.4561056597295,"5101704"
"Barra do Garcas",5101803,1,1,1.19847763398417,0.343800784854279,0.929,94.0791345677984,"5101803"
"Bom Jesus do Araguaia",5101852,0,1,1.43813953210558,2.46428571428571,0.929,93.8357611197459,"5101852"
"Brasnorte",5101902,0,1,1,0,0.929,93.3074496797714,"5101902"
"Caceres",5102504,0,1,-999,0.812023890414154,0.929,93.3074496797714,"5102504"
"Campinapolis",5102603,1,1,-999,0,0.929,93.3074496797714,"5102603"
"Campo Novo do Parecis",5102637,1,1,1.19210838750205,0.424757519269193,0.929,93.5467735784134,"5102637"
"Campo Verde",5102678,1,1,1.13375242276629,0.505913473931493,0.929,93.3105002881888,"5102678"
"Campos de Julio",5102686,1,1,1.44672489603095,1.28333737262309,0.929,93.7234035371593,"5102686"
"Canabrava do Norte",5102694,0,1,1.22759151001337,0.952380952380952,0.929,94.761421277975,"5102694"
"Canarana",5102702,0,1,1.00157198995996,-0.0413919413919414,0.929,93.3076652225011,"5102702"
"Carlinda",5102793,0,0,1,0,0.929,93.3074496797714,"5102793"
"Castanheira",5102850,0,1,1,0,0.929,93.3074496797714,"5102850"
"Chapada Dos Guimaraes",5103007,0,0,1,0,0.929,93.3074496797714,"5103007"
"Claudia",5103056,0,1,2.0155028596279,0,0.929,93.3074496797714,"5103056"
"Cocalinho",5103106,0,1,1,0,0.929,93.3074496797714,"5103106"
"Colider",5103205,0,1,1.5387922261659,1.25831984978326,0.929,93.5586726633297,"5103205"
"Colniza",5103254,0.5,1,1,0,0.929,93.3074496797714,"5103254"
"Comodoro",5103304,0,1,1.84616303905355,3.41428571428571,0.929,100,"5103304"
"Confresa",5103353,1,1,0.812306962089943,-0.419148255715788,0.929,93.5756695986295,"5103353"
"Conquista D'Oeste",5103361,0,0,1,0,0.929,93.3074496797714,"5103361"
"Cotriguacu",5103379,0,0,1,0,0.929,93.3074496797714,"5103379"
"Cuiaba",5103403,1,1,1.11540051703491,0.264843746064555,0.929,93.7799215691243,"5103403"
"Curvelandia",5103437,0,1,1.12603091867185,0.576984126984127,0.929,93.5555999589384,"5103437"
"Denise",5103452,0.5,1,7.7148239887173,0,0.929,93.3074496797714,"5103452"
"Diamantino",5103502,0.5,1,1.23312118242621,0,0.929,93.3074496797714,"5103502"
"Dom Aquino",5103601,0.5,1,1.18917443337115,0.0272108843537415,0.929,93.4512809690053,"5103601"
"Feliz Natal",5103700,0.5,1,1.53639540871999,0,0.929,93.3074496797714,"5103700"
"Figueiropolis D'Oeste",5103809,0.5,0,1,0,0.929,93.3074496797714,"5103809"
"Gaucha do Norte",5103858,0.5,1,1.47851267180641,0,0.929,93.3074496797714,"5103858"
"General Carneiro",5103908,0.5,1,-999,0,0.929,93.3074496797714,"5103908"
"Gloria D'Oeste",5103957,0.5,0,1,0,0.929,93.3074496797714,"5103957"
"Guaranta do Norte",5104104,1,1,1.26333089157352,0.396264457728541,0.929,93.7060428503354,"5104104"
"Guiratinga",5104203,0.5,1,0.959598445102456,-0.728571428571429,0.929,93.3074496797714,"5104203"
"Indiavai",5104500,0.5,1,1,0,0.929,93.3074496797714,"5104500"
"Ipiranga do Norte",5104526,0.5,1,0.940455952080618,-0.0877551020408163,0.929,93.4730727645155,"5104526"
"Itanhanga",5104542,0.5,1,1,0,0.929,93.3074496797714,"5104542"
"Itauba",5104559,0.5,1,1.44369931202064,0,0.929,93.3074496797714,"5104559"
"Itiquira",5104609,0,1,1.10744702761564,0,0.929,93.3074496797714,"5104609"
"Jaciara",5104807,1,1,1.27931050118454,0.605399000534585,0.929,93.7162673883253,"5104807"
"Jangada",5104906,0,1,1.14618088262419,-0.0566936822575921,0.929,93.4608105978214,"5104906"
"Jauru",5105002,0.5,1,1,0,0.929,93.3074496797714,"5105002"
"Juara",5105101,0,1,1.68480524142447,2.69437229437229,0.929,96.9084925153263,"5105101"
"Juina",5105150,0,1,1.4719755422552,2.8534632034632,0.929,93.4580841309985,"5105150"
"Juruena",5105176,0,1,2.28430853342159,0,0.929,93.3074496797714,"5105176"
"Juscimeira",5105200,0,1,1.36695586363988,6.78571428571428,0.929,95.2242851921548,"5105200"
"Lambari D'Oeste",5105234,0.5,0,1,0,0.929,93.3074496797714,"5105234"
"Lucas do Rio Verde",5105259,1,1,1.26605386515428,0.648135086019441,0.929,94.0149895969534,"5105259"
"Luciara",5105309,0.5,0,1,0,0.929,93.3074496797714,"5105309"
"Marcelandia",5105580,0.5,1,-999,1.06429238362011,0.929,93.3074496797714,"5105580"
"Matupa",5105606,0,1,0.996078700765851,0.0715540526054536,0.929,93.3087909630669,"5105606"
"Mirassol D'Oeste",5105622,0,0,1,0,0.929,93.3074496797714,"5105622"
"Nobres",5105903,0.5,1,1.51335803544683,0.760822510822511,0.929,93.3537137020666,"5105903"
"Nortelandia",5106000,0.5,1,1,0,0.929,93.3074496797714,"5106000"
"Nossa Senhora de Livramento",5106109,0.5,0,1,0,0.929,93.3074496797714,"5106109"
"Nova Bandeirantes",5106158,0,1,1,0,0.929,93.3074496797714,"5106158"
"Nova Brasilandia",5106208,0,1,1,0,0.929,93.3074496797714,"5106208"
"Nova Canaa do Norte",5106216,0,1,1,0,0.929,93.3074496797714,"5106216"
"Nova Guarita",5108808,0.5,0,1,0,0.929,93.3074496797714,"5108808"
"Nova Lacerda",5106182,0.5,1,2.27156351024048,1.14285714285714,0.929,100,"5106182"
"Nova Marilandia",5108857,0.5,1,1.21949003142128,0,0.929,93.3074496797714,"5108857"
"Nova Maringa",5108907,0.5,1,1,0,0.929,93.3074496797714,"5108907"
"Nova Monte Verde",5108956,0.5,1,1,0,0.929,93.3074496797714,"5108956"
"Nova Mutum",5106224,1,1,1.13092527115439,0.206501351549867,0.929,93.8862631607418,"5106224"
"Nova Nazare",5106174,1,1,1,0,0.929,93.3074496797714,"5106174"
"Nova Olimpia",5106232,0.5,1,1.44871064449393,0.799319727891157,0.929,93.6989927777323,"5106232"
"Nova Santa Helena",5106190,0.5,1,0.785468071567039,0.444588744588744,0.929,93.45540484609,"5106190"
"Nova Ubirata",5106240,0.5,1,1.16096335611159,0.291666666666667,0.929,94.1181962814721,"5106240"
"Nova Xavantina",5106257,0.5,1,2.14071062140368,0.285714285714286,0.929,94.617772129704,"5106257"
"Novo Horizonte do Norte",5106273,0.5,1,1,0,0.929,93.3074496797714,"5106273"
"Novo Mundo",5106265,0,1,0.985299953996108,-0.372448979591837,0.929,93.3250023736425,"5106265"
"Novo Santo Antonio",5106315,0,1,0.910375738410549,-0.0152347652347653,0.929,93.3260919980016,"5106315"
"Novo Sao Joaquim",5106281,0,1,1,0,0.929,93.3074496797714,"5106281"
"Paranaita",5106299,0,1,2.47036734181994,2,0.929,100,"5106299"
"Paranatinga",5106307,1,1,1.1627841316067,0.826530612244898,0.929,94.1333563815961,"5106307"
"Pedra Preta",5106372,1,1,0.850035017374603,0.148357232198696,0.929,94.0293294256872,"5106372"
"Peixoto de Azevedo",5106422,1,1,1.156605900827,-0.185085236012243,0.929,94.0824349968509,"5106422"
"Planalto da Serra",5106455,1,0,1,0,0.929,93.3074496797714,"5106455"
"Pocone",5106505,1,1,0.985048380435149,-0.153638403744516,0.929,93.3255128421432,"5106505"
"Pontal do Araguaia",5106653,0,1,1.28265391342722,0.522959183673469,0.929,93.3437846558395,"5106653"
"Ponte Branca",5106703,0.5,0,1,0,0.929,93.3074496797714,"5106703"
"Pontes e Lacerda",5106752,1,1,1.77815302042335,2.53621138220496,0.929,100,"5106752"
"Porto Alegre do Norte",5106778,0.5,1,0.994789875076982,-0.504761904761905,0.929,93.3074496797714,"5106778"
"Porto dos Gauchos",5106802,0.5,1,0.797465039166147,0,0.929,93.3074496797714,"5106802"
"Porto Esperidiao",5106828,0.5,1,1.13227684337091,0.0927787896241639,0.929,93.8959627831114,"5106828"
"Porto Estrela",5106851,0,1,1,0,0.929,93.3074496797714,"5106851"
"Poxoreu",5107008,0,1,1.44153596159722,1.25162231524605,0.929,93.7899754135846,"5107008"
"Primavera do Leste",5107040,1,1,1.11621111888407,0.215662526590153,0.929,93.7852456314873,"5107040"
"Querencia",5107065,0,1,-999,0.976273419718789,0.929,93.3074496797714,"5107065"
"Reserva do Cabacal",5107156,0,1,1,0,0.929,93.3074496797714,"5107156"
"Ribeirao Cascalheira",5107180,0,1,1.22299696516138,1.11700680272109,0.929,94.7109124346017,"5107180"
"Ribeiraozinho",5107198,0.5,1,1,0,0.929,93.3074496797714,"5107198"
"Rio Branco",5107206,0.5,1,-999,1.47619047619048,0.929,93.3074496797714,"5107206"
"Rondolandia",5107578,0.5,0,1,0,0.929,93.3074496797714,"5107578"
"Rondonopolis",5107602,1,1,1.02269151124119,-0.0794269141196623,0.929,93.3431103580093,"5107602"
"Rosario Oeste",5107701,1,1,1.57440688728838,2.12197802197802,0.929,94.0202933832296,"5107701"
"Salto do Ceu",5107750,0,1,1,0,0.929,93.3074496797714,"5107750"
"Santa Carmem",5107248,0,1,0.958739408783131,0,0.929,93.3074496797714,"5107248"
"Santa Cruz do Xingu",5107743,0.5,1,0.763548894249617,-0.304761904761905,0.929,94.4257312125651,"5107743"
"Santa Rita do Trivelato",5107768,0.5,1,1,0,0.929,93.3074496797714,"5107768"
"Santa Terezinha",5107776,0.5,1,1,0,0.929,93.3074496797714,"5107776"
"Santo Afonso",5107263,0.5,1,-999,0.166666666666667,0.929,93.3074496797714,"5107263"
"Santo Antonio de Leverger",5107800,0.5,0,1,0,0.929,93.3074496797714,"5107800"
"Santo Antonio do Leste",5107792,0.5,1,1,0,0.929,93.3074496797714,"5107792"
"Sao Felix do Araguaia",5107859,0,1,1.23317242991984,0.2,0.929,94.8240829207385,"5107859"
"Sao Jose do Povo",5107297,0.5,1,1.1885418573748,0.285714285714286,0.929,94.3618901771336,"5107297"
"Sao Jose do Rio Claro",5107305,0.5,1,0.892730348469727,0,0.929,93.3074496797714,"5107305"
"Sao Jose do Xingu",5107354,0.5,1,1,0,0.929,93.3074496797714,"5107354"
"Sao Jose Dos Quatro Marcos",5107107,0,0,1,0,0.929,93.3074496797714,"5107107"
"Sao Pedro da Cipa",5107404,0,1,1.48666804274548,-0.142857142857143,0.929,93.3535699089586,"5107404"
"Sapezal",5107875,0,1,1.33853844997722,0.662056099012621,0.929,94.1272792305766,"5107875"
"Serra Nova Dourada",5107883,0,1,1,0,0.929,93.3074496797714,"5107883"
"Sinop",5107909,1,1,1.07253035516447,0.151880125589932,0.929,93.5332890510124,"5107909"
"Sorriso",5107925,1,1,1.13249243215333,0.179654450970678,0.929,93.8975165855028,"5107925"
"Tabapora",5107941,1,1,1.25681260816772,0,0.929,93.3074496797714,"5107941"
"Tangara da Serra",5107958,1,1,1.25751179613287,0.540125813192195,0.929,93.3962418363962,"5107958"
"Tapurah",5108006,1,1,1.0159611252897,-0.129797129579801,0.929,93.3276001221725,"5108006"
"Terra Nova do Norte",5108055,0.5,1,1.39101674295863,0.210714285714286,0.929,94.6567116750322,"5108055"
"Tesouro",5108105,0.5,0,1,0,0.929,93.3074496797714,"5108105"
"Torixoreu",5108204,0.5,0,1,0,0.929,93.3074496797714,"5108204"
"Uniao do Sul",5108303,0.5,1,1.63997239781122,-0.0285714285714286,0.929,93.3589380011389,"5108303"
"Vale de Sao Domingos",5108352,0.5,0,1,0,0.929,93.3074496797714,"5108352"
"Varzea Grande",5108402,1,1,1.23652761261138,0.554285520705433,0.929,93.4507163364055,"5108402"
"Vera",5108501,0.5,1,0.909380389589959,-0.34496336996337,0.929,93.6289909428506,"5108501"
"Vila Bela da Santissima Trindade",5105507,0.5,1,1.86694057935887,2.87453007518797,0.929,100,"5105507"
"Vila Rica",5108600,0,1,1.1690952500337,0.42561115355233,0.929,93.5424952464517,"5108600"
