"","Municipio","Infectados","Recuperados","Obitos","Total","Dia_Juliano"
"1","Cuiaba",1,0,0,1,74
"2","Cuiaba",1,0,0,1,75
"3","Cuiaba",2,0,0,2,76
"4","Varzea Grande",1,0,0,1,76
"5","Cuiaba",3,0,0,3,77
"6","Varzea Grande",1,0,0,1,77
"7","Cuiaba",5,0,0,5,78
"8","Varzea Grande",1,0,0,1,78
"9","Cuiaba",5,0,0,5,79
"10","Varzea Grande",1,0,0,1,79
"11","Cuiaba",6,0,0,6,80
"12","Varzea Grande",2,0,0,2,80
"13","Cuiaba",6,0,0,6,81
"14","Varzea Grande",2,0,0,2,81
"15","Cuiaba",6,0,0,6,82
"16","Varzea Grande",2,0,0,2,82
"17","Cuiaba",6,0,0,6,83
"18","Varzea Grande",2,0,0,2,83
"19","Cuiaba",8,0,0,8,84
"20","Nova Monte Verde",1,0,0,1,84
"21","Varzea Grande",2,0,0,2,84
"22","Cuiaba",8,0,0,8,85
"23","Nova Monte Verde",1,0,0,1,85
"24","Varzea Grande",2,0,0,2,85
"25","Cuiaba",8,0,0,8,86
"26","Nova Monte Verde",1,0,0,1,86
"27","Varzea Grande",2,0,0,2,86
"28","Cuiaba",8,0,0,8,87
"29","Nova Monte Verde",1,0,0,1,87
"30","Varzea Grande",2,0,0,2,87
"31","Cuiaba",8,0,0,8,88
"32","Nova Monte Verde",1,0,0,1,88
"33","Varzea Grande",2,0,0,2,88
"34","Cuiaba",8,0,0,8,89
"35","Nova Monte Verde",1,0,0,1,89
"36","Varzea Grande",2,0,0,2,89
"37","Cuiaba",12,0,0,12,90
"38","Nova Monte Verde",1,0,0,1,90
"39","Rondonopolis",3,0,0,3,90
"40","Varzea Grande",2,0,0,2,90
"41","Cuiaba",18,0,0,18,91
"42","Nova Monte Verde",1,0,0,1,91
"43","Rondonopolis",4,0,0,4,91
"44","Varzea Grande",2,0,0,2,91
"45","Cuiaba",19,0,0,19,92
"46","Nova Monte Verde",1,0,0,1,92
"47","Rondonopolis",5,0,0,5,92
"48","Tangara da Serra",1,0,0,1,92
"49","Varzea Grande",2,0,0,2,92
"50","Cuiaba",25,0,0,25,93
"51","Lucas do Rio Verde",1,0,0,1,93
"52","Nova Monte Verde",1,0,0,1,93
"53","Rondonopolis",5,0,0,5,93
"54","Sinop",3,0,0,3,93
"55","Tangara da Serra",2,0,0,2,93
"56","Varzea Grande",4,0,0,4,93
"57","Cuiaba",25,0,0,25,94
"58","Lucas do Rio Verde",0,0,1,1,94
